Barbell Bench Press	杠铃 卧推 推举
Barbell Floor Press	杠铃 floor 推举
Close Grip Barbell Bench Press	窄 握 杠铃 卧推 推举
Dumbbell Bench Press	哑铃 卧推 推举
Dumbbell Floor Press	哑铃 floor 推举
Incline Dumbbell Bench Press	incline 哑铃 卧推 推举
Kettlebell Chest Press	壶铃 胸部 推举
Partial Lockout	partial lockout
Cardio Core Crawl	cardio 核心 crawl
Jumping Jacks	jumping jacks
Jump Rope	跳 rope
Squat Jacks	深蹲 jacks
Barbell Rollout	杠铃 rollout
Kneeling Ab Wheel	kneeling ab wheel
Russian Twist	russian twist
Swiss Ball Jackknife	swiss 球 jackknife
Swiss Ball Rollout	swiss 球 rollout
Bicycle Crunch	bicycle 卷腹
Cable Crunch	绳索 卷腹
Crunch	卷腹
Hanging Knee Raise Oblique Crunch	hanging knee 上举 oblique 卷腹
Kneeling Cable Crunch	kneeling 绳索 卷腹
Reverse Crunch	reverse 卷腹
Reverse Crunch On A Bench	reverse 卷腹 on a 卧推
Skater Crunch Cross	skater 卷腹 cross
Swiss Ball Crunch	swiss 球 卷腹
Alternating Dumbbell Biceps Curl	alternating 哑铃 biceps 弯举
Alternating Incline Dumbbell Biceps Curl	alternating incline 哑铃 biceps 弯举
Barbell Biceps Curl	杠铃 biceps 弯举
Dead Hang Biceps Curl	dead hang biceps 弯举
Dumbbell Hammer Curl	哑铃 hammer 弯举
Forward Bend Biceps Curl	forward bend biceps 弯举
One Arm Concentration Curl	one 手臂 concentration 弯举
Seated Alternating Dumbbell Biceps Curl	seated alternating 哑铃 biceps 弯举
Standing Alternating Dumbbell Curls	standing alternating 哑铃 curls
Standing Dumbbell Biceps Curl	standing 哑铃 biceps 弯举
Barbell Deadlift	杠铃 硬拉
Barbell Straight Leg Deadlift	杠铃 straight 腿 硬拉
Dumbbell Deadlift	哑铃 硬拉
Dumbbell Straight Leg Deadlift	哑铃 straight 腿 硬拉
Single Leg Deadlift With Barbell	single 腿 硬拉 with 杠铃
Dumbbell Flye	哑铃 flye
Barbell Hip Thrust On Floor	杠铃 hip thrust on floor
